"Step","sp_wo_evaluation_seed2 - cover_rate_1step"
"105000","0"
"210000","0.002"
"315000","0.0025"
"420000","0.0065"
"525000","0.0075"
"630000","0.008"
"735000","0.0055"
"840000","0.006"
"945000","0.0105"
"1050000","0.0165"
"1155000","0.0625"
"1260000","0.1135"
"1365000","0.185"
"1470000","0.215"
"1575000","0.2265"
"1680000","0.238"
"1785000","0.261"
"1890000","0.2865"
"1995000","0.304"
"2100000","0.2815"
"2205000","0.279"
"2310000","0.2935"
"2415000","0.3155"
"2520000","0.3315"
"2625000","0.3525"
"2730000","0.345"
"2835000","0.352"
"2940000","0.361"
"3045000","0.352"
"3150000","0.3525"
"3255000","0.3715"
"3360000","0.3835"
"3465000","0.374"
"3570000","0.382"
"3675000","0.372"
"3780000","0.3975"
"3885000","0.386"
"3990000","0.3995"
"4095000","0.39"
"4200000","0.402"
"4305000","0.4165"
"4410000","0.436"
"4515000","0.426"
"4620000","0.4315"
"4725000","0.4365"
"4830000","0.432"
"4935000","0.466"
"5040000","0.4615"
"5145000","0.465"
"5250000","0.456"
"5355000","0.4705"
"5460000","0.493"
"5565000","0.493"
"5670000","0.489"
"5775000","0.4805"
"5880000","0.503"
"5985000","0.504"
"6090000","0.54"
"6195000","0.5355"
"6300000","0.532"
"6405000","0.5175"
"6510000","0.5425"
"6615000","0.559"
"6720000","0.562"
"6825000","0.5675"
"6930000","0.5735"
"7035000","0.5515"
"7140000","0.575"
"7245000","0.581"
"7350000","0.6085"
"7455000","0.576"
"7560000","0.6355"
"7665000","0.6075"
"7770000","0.6025"
"7875000","0.631"
"7980000","0.6535"
"8085000","0.645"
"8190000","0.6215"
"8295000","0.6275"
"8400000","0.6355"
"8505000","0.6515"
"8610000","0.633"
"8715000","0.6565"
"8820000","0.643"
"8925000","0.6595"
"9030000","0.644"
"9135000","0.654"
"9240000","0.663"
"9345000","0.651"
"9450000","0.7065"
"9555000","0.691"
"9660000","0.6915"
"9765000","0.701"
"9870000","0.702"
"9975000","0.706"
"10080000","0.694"
"10185000","0.7285"
"10290000","0.718"
"10395000","0.713"
"10500000","0.748"
"10605000","0.7485"
"10710000","0.7375"
"10815000","0.7405"
"10920000","0.722"
"11025000","0.752"
"11130000","0.723"
"11235000","0.74"
"11340000","0.7105"
