Step,transfer_pb_woclip_onlytrain4_seed3 - 4cover_rate
0,0.6652
180000,0.4801
360000,0.4759
540000,0.499
720000,0.4959
900000,0.4797
1080000,0.5061
1260000,0.5042
1440000,0.5004
1620000,0.5081
1800000,0.5069
1980000,0.5065
2160000,0.5188
2340000,0.5035
2520000,0.5074
2700000,0.5297
2880000,0.5196
3060000,0.5119
3240000,0.5227
3420000,0.5074
3600000,0.5065
3780000,0.4987
3960000,0.5093
4140000,0.5134
4320000,0.5019
4500000,0.51
4680000,0.4864
4860000,0.4862
5040000,0.4852
5220000,0.489
5400000,0.481
5580000,0.4654
5760000,0.4635
5940000,0.4695
6120000,0.4665
6300000,0.4718
6480000,0.4638
6660000,0.4768
6840000,0.4704
7020000,0.4666
7200000,0.4812
7380000,0.4464
7560000,0.4672
7740000,0.4695
7920000,0.4719
8100000,0.4635
8280000,0.4571
8460000,0.4473
8640000,0.4485
8820000,0.438
9000000,0.4408
9180000,0.4259
9360000,0.4364
9540000,0.4246
9720000,0.4362
9900000,0.4295
10080000,0.4213
10260000,0.4357
10440000,0.4412
10620000,0.4304
10800000,0.444
10980000,0.4502
11160000,0.4524
11340000,0.4495
11520000,0.4368
11700000,0.4286
11880000,0.4315
12060000,0.4297
12240000,0.4501
12420000,0.4456
12600000,0.4539
12780000,0.4418
12960000,0.4344
13140000,0.4369
13320000,0.438
13500000,0.4284
13680000,0.4449
13860000,0.4489
14040000,0.4372
14220000,0.4538
14400000,0.4315
14580000,0.4513
14760000,0.4359
14940000,0.4099
15120000,0.416
15300000,0.4228
15480000,0.4267
15660000,0.4336
15840000,0.4352
16020000,0.4484
16200000,0.4605
16380000,0.4586
16560000,0.4593
16740000,0.4596
16920000,0.4585
17100000,0.4552
17280000,0.4593
17460000,0.4631
17640000,0.4627
17820000,0.4403
18000000,0.4734
18180000,0.4401
18360000,0.4458
18540000,0.4486
18720000,0.4577
18900000,0.4615
19080000,0.4695
19260000,0.4494
19440000,0.4491
19620000,0.437
19800000,0.4484
19980000,0.4367
20160000,0.4429
20340000,0.4355
20520000,0.4258
20700000,0.4232
20880000,0.4373
21060000,0.4477
21240000,0.423
21420000,0.4339
21600000,0.4289
21780000,0.4083
21960000,0.4243
22140000,0.4294
22320000,0.429
22500000,0.4474
22680000,0.4418
22860000,0.4271
23040000,0.4162
23220000,0.4173
23400000,0.4326
23580000,0.436
23760000,0.4353
23940000,0.4465
24120000,0.4494
24300000,0.4183
24480000,0.4552
24660000,0.4232
24840000,0.4278
25020000,0.442
25200000,0.4376
25380000,0.4189
25560000,0.4454
25740000,0.4355
25920000,0.4319
26100000,0.424
26280000,0.4353
26460000,0.4519
26640000,0.4432
26820000,0.4405
27000000,0.4312
27180000,0.4516
27360000,0.4474
27540000,0.4552
27720000,0.4553
27900000,0.4575
28080000,0.4465
28260000,0.4477
28440000,0.4367
28620000,0.4499
28800000,0.4363
28980000,0.4264
29160000,0.4228
29340000,0.4257
29520000,0.4228
29700000,0.4355
29880000,0.426
30060000,0.4252
30240000,0.4168
30420000,0.4149
30600000,0.4091
30780000,0.4187
30960000,0.4287
31140000,0.4346
31320000,0.4421
31500000,0.4482
31680000,0.4194
31860000,0.4107
32040000,0.4337
32220000,0.4257
32400000,0.4485
32580000,0.4489
32760000,0.4499
32940000,0.4483
33120000,0.4641
33300000,0.4599
33480000,0.4479
33660000,0.4557
33840000,0.4528
34020000,0.4567
34200000,0.4549
34380000,0.4482
34560000,0.4532
34740000,0.463
34920000,0.4387
35100000,0.4479
35280000,0.4348
35460000,0.4536
35640000,0.4651
35820000,0.4473
36000000,0.4667
36180000,0.449
36360000,0.4502
36540000,0.458
36720000,0.446
36900000,0.452
37080000,0.4533
37260000,0.463
37440000,0.4454
37620000,0.444
37800000,0.4485
37980000,0.4295
38160000,0.4306
38340000,0.4522
38520000,0.4505
38700000,0.436
38880000,0.4392
39060000,0.4468
39240000,0.4597
39420000,0.4405
39600000,0.4197
39780000,0.4434
39960000,0.4342
40140000,0.4486
40320000,0.4234
40500000,0.4129
40680000,0.415
40860000,0.4166
41040000,0.416
41220000,0.3914
41400000,0.3893
41580000,0.3993
41760000,0.42
41940000,0.4239
42120000,0.4254
42300000,0.4355
42480000,0.4185
42660000,0.4449
42840000,0.4529
