Step,transfer_0.9_load_optimizer_wogradclip_seed3 - 8cover_rate
0,0.8335
105000,0.6723
210000,0.6828
315000,0.698
420000,0.6882
525000,0.68615
630000,0.697
735000,0.70775
840000,0.70475
945000,0.71465
1050000,0.70995
1155000,0.7239
1260000,0.7212
1365000,0.73195
1470000,0.7484
1575000,0.75845
1680000,0.75905
1785000,0.74845
1890000,0.7699
1995000,0.77245
2100000,0.78365
2205000,0.7865
2310000,0.78705
2415000,0.7894
2520000,0.79895
2625000,0.79985
2730000,0.80585
2835000,0.80215
2940000,0.80655
3045000,0.81505
3150000,0.81245
3255000,0.8176
3360000,0.8061
3465000,0.8136
3570000,0.8159
3675000,0.8161
3780000,0.8201
3885000,0.81635
3990000,0.8239
4095000,0.8218
4200000,0.83655
4305000,0.8214
4410000,0.8292
4515000,0.83945
4620000,0.8319
4725000,0.82945
4830000,0.8298
4935000,0.83335
5040000,0.832
5145000,0.82965
5250000,0.83345
5355000,0.83505
5460000,0.83265
5565000,0.82875
5670000,0.83415
5775000,0.831
5880000,0.8269
5985000,0.83285
6090000,0.835
6195000,0.841
6300000,0.83325
6405000,0.83105
6510000,0.8325
6615000,0.8389
6720000,0.8391
6825000,0.84895
6930000,0.84925
7035000,0.8565
7140000,0.85965
7245000,0.8568
7350000,0.8507
7455000,0.85455
7560000,0.8598
7665000,0.8533
7770000,0.8534
7875000,0.8586
7980000,0.86325
8085000,0.85185
8190000,0.85435
8295000,0.8479
8400000,0.84935
8505000,0.85955
8610000,0.8613
8715000,0.8507
8820000,0.85835
8925000,0.85715
9030000,0.86275
9135000,0.86405
9240000,0.85995
9345000,0.8611
9450000,0.8687
9555000,0.87525
9660000,0.87865
9765000,0.8805
9870000,0.8695
9975000,0.865
10080000,0.86595
10185000,0.8662
10290000,0.86625
10395000,0.864
10500000,0.8688
10605000,0.87235
10710000,0.8724
10815000,0.8661
10920000,0.8705
11025000,0.87895
11130000,0.882
11235000,0.88515
11340000,0.8777
11445000,0.8688
11550000,0.87545
11655000,0.86105
11760000,0.8655
11865000,0.8687
11970000,0.8743
12075000,0.8784
12180000,0.8741
12285000,0.8829
12390000,0.878
12495000,0.8842
12600000,0.8777
12705000,0.8749
12810000,0.88045
12915000,0.8818
13020000,0.88185
13125000,0.8851
13230000,0.885
13335000,0.89185
13440000,0.8917
13545000,0.88485
13650000,0.8869
13755000,0.884
13860000,0.8919
13965000,0.89465
14070000,0.89735
14175000,0.9005
14280000,0.9066
14385000,0.8999
14490000,0.903
14595000,0.9115
14700000,0.9071
14805000,0.9026
14910000,0.90525
15015000,0.90765
15120000,0.90785
15225000,0.9087
15330000,0.91335
15435000,0.91365
15540000,0.9124
15645000,0.9166
15750000,0.91755
15855000,0.9187
15960000,0.9221
16065000,0.9159
16170000,0.92225
16275000,0.926
16380000,0.92235
16485000,0.9179
16590000,0.9196
16695000,0.91995
16800000,0.92985
16905000,0.9166
17010000,0.9127
17115000,0.91715
17220000,0.91565
17325000,0.9209
17430000,0.9231
17535000,0.91675
17640000,0.9151
17745000,0.92215
17850000,0.91525
17955000,0.91445
18060000,0.91495
18165000,0.9146
18270000,0.92225
18375000,0.9192
18480000,0.92125
18585000,0.91745
18690000,0.91575
18795000,0.91635
18900000,0.9082
19005000,0.914
19110000,0.90935
19215000,0.90825
19320000,0.9102
19425000,0.91215
19530000,0.9188
19635000,0.9249
19740000,0.9284
19845000,0.92205
19950000,0.92485
20055000,0.9289
20160000,0.9299
20265000,0.92745
20370000,0.92925
20475000,0.9263
20580000,0.92125
20685000,0.9253
20790000,0.9282
20895000,0.927
21000000,0.9245
21105000,0.92995
21210000,0.9244
21315000,0.9218
21420000,0.907
21525000,0.92695
21630000,0.91915
21735000,0.9127
21840000,0.9263
21945000,0.92955
22050000,0.9303
22155000,0.9315
22260000,0.9333
22365000,0.93735
22470000,0.9371
22575000,0.93315
22680000,0.9323
22785000,0.93895
22890000,0.93535
22995000,0.9427
23100000,0.9414
23205000,0.93105
23310000,0.93185
23415000,0.9339
23520000,0.9255
23625000,0.92915
23730000,0.9245
23835000,0.92765
23940000,0.93035
24045000,0.9316
24150000,0.928
24255000,0.92885
24360000,0.9262
24465000,0.92635
24570000,0.9217
24675000,0.92045
24780000,0.91915
24885000,0.9236
24990000,0.93055
25095000,0.9286
25200000,0.9355
25305000,0.93965
25410000,0.93925
25515000,0.93085
25620000,0.93435
25725000,0.9379
25830000,0.9437
25935000,0.9352
26040000,0.9343
26145000,0.9288
26250000,0.93265
26355000,0.9437
26460000,0.94285
26565000,0.94415
26670000,0.94605
26775000,0.94545
26880000,0.9453
26985000,0.9446
27090000,0.94435
27195000,0.9508
27300000,0.9503
27405000,0.94255
27510000,0.93975
27615000,0.93835
27720000,0.94485
27825000,0.9428
27930000,0.94385
28035000,0.94565
28140000,0.94085
28245000,0.9481
28350000,0.95105
28455000,0.94945
28560000,0.9439
28665000,0.9482
28770000,0.95005
28875000,0.9465
28980000,0.9451
29085000,0.94505
29190000,0.95125
29295000,0.94705
29400000,0.95675
29505000,0.95055
29610000,0.952
29715000,0.95385
29820000,0.95245
29925000,0.9526
30030000,0.94965
30135000,0.9451
30240000,0.9451
30345000,0.9415
30450000,0.9478
30555000,0.95105
30660000,0.9524
30765000,0.95175
30870000,0.9501
30975000,0.95275
31080000,0.95675
31185000,0.9545
31290000,0.95215
31395000,0.9535
31500000,0.9447
31605000,0.94915
31710000,0.9506
31815000,0.95385
31920000,0.95425
32025000,0.9468
32130000,0.95205
32235000,0.9528
32340000,0.9509
32445000,0.9529
32550000,0.95415
32655000,0.95685
32760000,0.9527
32865000,0.9533
32970000,0.95325
33075000,0.94855
33180000,0.9542
33285000,0.954
33390000,0.9496
33495000,0.94845
33600000,0.9492
33705000,0.946
33810000,0.94745
33915000,0.94445
34020000,0.9465
34125000,0.9488
34230000,0.95155
34335000,0.94775
34440000,0.94935
34545000,0.94995
34650000,0.95205
34755000,0.94585
34860000,0.95415
34965000,0.9519
35070000,0.9506
35175000,0.957
35280000,0.95425
35385000,0.9563
35490000,0.95515
35595000,0.9528
35700000,0.95735
35805000,0.9514
35910000,0.9514
36015000,0.95335
36120000,0.95375
36225000,0.9532
36330000,0.95425
36435000,0.95515
36540000,0.957
36645000,0.95235
36750000,0.95285
36855000,0.9532
36960000,0.95155
37065000,0.9581
37170000,0.9538
37275000,0.9531
37380000,0.9557
37485000,0.9533
37590000,0.95425
37695000,0.95605
37800000,0.955
37905000,0.9549
38010000,0.9533
38115000,0.9576
38220000,0.95345
38325000,0.9575
38430000,0.94995
38535000,0.95035
38640000,0.95135
38745000,0.9525
38850000,0.9517
38955000,0.95155
39060000,0.9555
39165000,0.95955
39270000,0.96095
39375000,0.95595
39480000,0.95595
39585000,0.96305
39690000,0.9577
