"Step","ours_warmup6iter_check_true_seed2 - 8cover_rate"
"105000","0.84815"
"210000","0.8619499999999999"
"315000","0.83515"
"420000","0.82255"
"525000","0.8322"
"630000","0.8150999999999999"
"735000","0.8241999999999999"
"840000","0.81175"
"945000","0.815"
"1050000","0.82245"
"1155000","0.8320500000000001"
"1260000","0.8202999999999999"
"1365000","0.8381"
"1470000","0.8337"
"1575000","0.83445"
"1680000","0.8294"
"1785000","0.8302"
"1890000","0.8351"
"1995000","0.8331"
"2100000","0.83175"
"2205000","0.83195"
"2310000","0.8306"
"2415000","0.8372999999999999"
"2520000","0.8445"
"2625000","0.8501000000000001"
"2730000","0.8278"
"2835000","0.82425"
"2940000","0.83575"
"3045000","0.8348"
"3150000","0.85205"
"3255000","0.8569"
"3360000","0.8595499999999999"
"3465000","0.8524999999999999"
"3570000","0.8639000000000001"
"3675000","0.85205"
"3780000","0.8553999999999999"
"3885000","0.865"
"3990000","0.8664"
"4095000","0.8727"
"4200000","0.8722499999999999"
"4305000","0.875"
"4410000","0.8737999999999999"
"4515000","0.86915"
"4620000","0.8684"
"4725000","0.8715"
"4830000","0.86625"
"4935000","0.8679"
"5040000","0.8752000000000001"
"5145000","0.8888499999999999"
"5250000","0.88585"
"5355000","0.88565"
"5460000","0.8923499999999999"
"5565000","0.89245"
"5670000","0.89055"
"5775000","0.8896"
"5880000","0.8973"
"5985000","0.8913"
"6090000","0.882"
"6195000","0.8813"
"6300000","0.89085"
"6405000","0.88675"
"6510000","0.8970999999999999"
"6615000","0.8764"
"6720000","0.8997999999999999"
"6825000","0.9067"
"6930000","0.9107"
"7035000","0.9148"
"7140000","0.92305"
"7245000","0.91865"
"7350000","0.91235"
"7455000","0.92455"
"7560000","0.9229"
"7665000","0.91835"
"7770000","0.91545"
"7875000","0.9231"
"7980000","0.91815"
"8085000","0.9211"
"8190000","0.9352"
"8295000","0.92"
"8400000","0.9263"
"8505000","0.9294"
"8610000","0.9296"
"8715000","0.93195"
"8820000","0.92655"
"8925000","0.9355"
"9030000","0.9356"
"9135000","0.92295"
"9240000","0.92725"
"9345000","0.9418"
"9450000","0.9425"
"9555000","0.94185"
"9660000","0.94085"
"9765000","0.94265"
"9870000","0.94535"
"9975000","0.9481499999999998"
"10080000","0.93535"
"10185000","0.9512"
"10290000","0.94855"
"10395000","0.9534"
"10500000","0.9527"
